architecture,architect,year,city,country,continent,latitude,longitude
Thorncrown_Chapel, E. Fay Jones,1980,"Eureka Springs, AR",United States,North America,36.41648866,-93.77267785
Pyramid,unknown,2490 B.C,Giza Governorate,Egypt,Africa,30.09336595,31.15068133
Chichen_Itza,unknown,900 AD,Yucatan,Mexico,North America,20.68441537,-88.56779333
Hilversum_Town_Hall,Willem Marinus Dudok,1928,JE Hilversum,Neitherland,Europe,52.22919952,5.16919733
Hungarian_Parliament_Building,Imre Steindl,1904,Budapest,Hungary,Europe,47.50735289,19.04565827
Zollverein_School_of_Management_and_Design,SANAA,2003,Essen,Germany,Europe,51.48779499,7.044625085
21st_Century_Museum_of_Contemporary_Art_Kanazawa,SANAA,2004,"Hirosaka, Kanazawa, Ishikawa",Japan,Europe,36.56104403,136.6585682
Sultan_Ahmed_Mosque,Sedefkar Mehmed Agha,1916,İstanbul,Turkey,Europe,41.00553912,28.9768138
Louvre_Pyramid,I.M.Pei,1989,Paris,France,Europe,48.86115465,2.335815383
The_Therme_Vals,Peter Zumthor,1996,Vals Valley,Switzerland,Europe,46.62253687,9.181162602
Saint_Benedict_Chapel,Peter Zumthor,1988,Sumvitg,Switzerland,Europe,46.73504236,8.939083471
House_II,Peter Eisenman,1970,"Hardwick, VT",United States,North America,44.53229242,-72.399254
Merlion_Singapore,Alec Fraser-Brunner,2002,Singapore,Singapore,Asia,1.286966848,103.854534
Tadao_Ando_4x4,Tado Ando,2004,"Tarumi-ku, Kobe, Hyogo",Japan,Asia,34.64216332,135.0217681
Valley_of_the_Kings,unknown,11th Century BC,Luxor Governorate,Egypt,Africa,25.74060855,32.60140057
Kwame_Nkrumah_Mausoleum,Don Arthur,1992,Accra,Ghana,Africa,5.545194826,-0.203052545
Nihonbashi_House,Tado Ando,1994,"Setagaya City, Tokyo",Japan,Asia,35.65544705,139.6639696
Church_of_the_Light,Tado Ando,1989,"Kitakasugaoka, Ibaraki, Osaka",Japan,Asia,34.81869633,135.5371373
Eychaner_Lee_House,Tado Ando,1997,"Takanawa, Shinagawa, Tokyo",Japan,Asia,41.92893982,-87.64528656
Hassan_II_Mosque,Michel Pinseau,1993,"Bd de la Corniche, Casablanca",Morocco,Africa,33.6086959,-7.632799073
Row_House_in_Sumiyoshi,Tadao Ando,1976,"Sumiyoshi Ward, Osaka",Japan,Asia,34.6111301,135.4922353
Memorial_du_Martyr,"Bachir Yelles, Marian Konieczny",1982,"Chemin Omar Kechkar, El Madania",Algeria,Africa,36.74578783,3.069841871
Basilique_Sainte,Louis-Napoléon Audet,2010,Brazzaville,Congo,Africa,-4.268294518,15.284135
Weissenhof_Estate,Le Corbusier,1927,Stuttgart,Germany,Europe,48.80087055,9.177157314
Villa_Stein_de_Monzie,Le Corbusier,1927,Vaucresson,France,Europe,48.84713967,2.177278715
The_Curutchet_House,Le Corbusier,1955,Provincia de Buenos Aires,Argentina,South America,-34.91108944,-57.94183202
Fogo_Island_Inn,Todd Saunders,2013,Joe Batt's Arm,Canada,North America,49.74562213,-54.18333864
CN_Tower,John Andrews,1976,Toronto,Canada,North America,43.64276028,-79.38708899
Legislative_Assembly_of_British_Columbia,Francis Rattenbury,1898,"Victoria, BC",Canada,North America,48.41990597,-123.3702154
Fairmont_Le_Chateau_Frontenac,Bruce Price,1893,Québec,Canada,North America,46.81211862,-71.20520767
Villa_Baizeau,Le Corbusier,1928,Tunis,Tunisia,Africa,36.85885224,10.33908562
Koshino_House,Tadao Ando,1981,"Ashiya, Hyogo",Japan,Asia,34.77412285,135.2850476
The_Church_of_the_Light ,Tadao Ando,1989,"Ibaraki, Osaka",Japan,Asia,34.81874037,135.5371695
Toyo_Ito_White_U_House,Tadao Ando,1976,"Nakano-Ku, Tokyo",Japan,Asia,35.69517213,139.6756078
Australian_War_Memorial,"Emil Sodersten, John Crust",1941,Treloar Cres,Australia,Australia,-35.28096907,149.1484112
Church_of_Water,Tadao Ando,1988,"Tomamu, Shimukappu, Hokkaido",Japan,Asia,43.06395852,142.6262197
Takahashi_City_Nariwa_Museum,Tadao Ando,1953,"Takahashi, Okayama",Japan,Asia,34.78113166,133.5366456
Parliament_House,"Edwin Lutyens, Herbert Baker",1927,"New Delhi, Delhi ",India,Asia,28.61746211,77.20812691
Modern_Art_Museum_of_Fort_Worth,Tadao Ando,2002,"Fort Worth, TX",United States,North America,32.7493788,-97.36327502
Sainte_Marie_de_La_Tourette,Le Corbusier,1957,Rte de la Tourette,France,Europe,45.81948678,4.622709775
Palais_des_Filateurs,Le Corbusier,1951,Ahmedabad,India,Asia,23.03274792,72.57089157
Walsh_House,Glenn Murcutt,2005,Bingie NSW 2537,Australia,Australia,-35.9211482,150.1127334
Magney_house,Glenn Murcutt,1984,Bingie NSW 2537,Australia,Australia,-36.01299543,150.1519512
Walden7,"Ricardo Bofill, Anna Bofill Levi",1975,"Sant Just Desvern, Barcelona",Spain,Europe,41.38041958,2.067724211
Lac_de_la_sourderie,Ricardo Bofill,1984,Montigny-le-Bretonneux,France,Europe,48.76696704,2.046286042
Espaces_dAbraxas,Ricardo Bofill,1983,Paris,France,Europe,48.84010364,2.542285998
Dancing_House,"Vlado Milunić, ‎Frank Gehry",1996,Prague,Czech Republic,Europe,50.07554768,14.41403922
Gateway_Arch,Eero Saarinen,1963,"St. Louis, MO",United States,North America,38.62488376,-90.18474412
Niterói_Contemporary_Art_Museum,Oscar Niemeyer,1996,"Niterói, Rio de Janeiro",Brazil,South America,-22.90739106,-43.12592065
Lotus_Temple,Fariborz Sahba,1986,New Delhi,India,Asia,28.55368046,77.25883713
Harvard_Gund_Hall,John Andrews,1972,"Cambridge, MA",United States,North America,42.37575221,-71.11365406
MIT_Stata_Center,Frank Gehry,2004,"Cambridge, MA",United States,North America,42.36179974,-71.0906355
Disney_Concert_Hall,Frank Gehry,2003,"Los Angeles, CA",United States,North America,34.05544433,-118.2498236
Westminster_Abbey," Ptolemy Dean, George Gilbert Scott",1269,London,United Kingdom,Europe,51.49945501,-0.1272744931
Dresden_Frauenkirche,George Bähr,2005,"Dresden, Saxony",Germany,Europe,51.05200152,13.74156451
41_Cooper_Square,Morphosis (Thom Mayne),2009,"New York City, NY",United States,North America,40.72933364,-73.99030172
Simmons_Hall,Steven Holl,2002,"Cambridge, MA",United States,North America,42.3575215,-71.10081436
Milstein_Hall,"OMA (Shohei Shigematsu, Rem Koolhaas)",2011,"Ithaca, NY",United States,North America,42.45148745,-76.48254687
Golden_Gate_Bridge,Joseph Baermann Strauss,1937,"San Francisco, California",United States,North America,37.82011503,-122.4782444
Gwanghwamun,Unknown,1395,"Sejongno, Jongno-gu, Seoul",South Korea,Asia,37.57631541,126.9768009
Himeji_Castle,Unknown,1333,"Himeji, Hyogo",Japan,Asia,34.83966912,134.6938618
Borobudur,Gunadharma,825 AD,"Kabupaten Magelang, Jawa Tengah",Indonesia,Asia,-7.604199646,110.2035868
Kinkaku-ji,Ashikaga Yoshimitsu,1955,"Kita Ward, Kyoto",Japan,Asia,35.03961594,135.7292002
