architecture,latitude,longitude,city,country,continent,architect,year
Heidi_Weber_House,47.3562638,8.550781966,Zürich,Switzerland,Europe,Le Corbusier,
Gallaratese_Il_Apartments,45.4992342,9.100900195,Milano,Italy,Europe,Aldo Rossi & Carlo Aymonino,
Centraal_Beheer_Building,52.20969992,5.960990714,NB Apeldoorn,Netherlands,Europe,Herman Hertzberger,1968-1972
Vitra_Fire_Station,47.60049679,7.614858602,Weil am Rhein,Germany,Europe,,
Yokohama_International_Port_Terminal,35.45125933,139.6473941,"Kanagawa, Yokohama",Japan,Asia,Farshid Moussavi and Alejandro Zaera-Polo,
Leaning_Tower_of_Pisa,43.72316133,10.39668283,"Piazza del Duomo, Pisa PI",Italy,Europe,"Diotisalvi, Guglielmo",
Taj_Mahal,27.17535476,78.04207782,Agra,India,Asia,Ustad Ahmad Lahouri,
Colosseum,41.8904418,12.4922309,Roma RM,Italy,Europe,Vespasian,
Pantheon,41.89915205,12.47691274,Roma RM,Italy,Europe,"Jacques-Germain Soufflot, Jean-Baptiste Rondelet",
Buckingham_Palace,51.50147752,-0.1418470863,London,United Kingdom,Europe,"John Nash, William Winde, Thomas Cubitt, Aston Webb, Edward Blore",
Hagia_Sophia,41.00876109,28.98026083,İstanbul,Turkey,Europe,"Isidore of Miletus, Anthemius of Tralles",
Space_Needle,47.62067984,-122.3493418,"Seattle, WA",United States,Europe,"John “Jack” Graham, Jr. fresh",
La_Sagrada_Familia,41.40384716,2.174377256,Barcelona,Spain,Europe,Antoni Gaudí,
Cathedral_of_Brasilia,-15.79813542,-47.87557159,Brasília,Brazil,South America,Oscar Niemeyer ,
The_White_House,38.89791008,-77.03658345,"Washington, DC",United States,North America,James Hoban,
Empire_State_Building,40.74861117,-73.98569659,"New York, NY",United States,North America,"William F. Lamb, Yasuo Matsui, Arthur Loomis Harmon, Gregory Johnson",
Lloyd's_Building,51.5128575,-0.08228543052,London,United Kingdom,Europe,"Richard Rogers, Mike Davies, Ivan Harbour",
Petronas_Twin_Towers,3.158227711,101.7117923,Kuala Lumpur,Malaysia,Asia,César Pelli,
Potala_Palace,29.65575524,91.11852555,Tibet,China,Asia,5th Dalai Lama,
The_Moscow_Kremlin,55.7521863,37.6174994,Moscow,Russia,Europe,Yuri Dolgoruki,
Stonehenge,51.17968152,-1.826199222,Salisbury SP4 7DE,United Kingdom,Europe,Christopher Wren,
Cologne_Cathedral,50.94142035,6.958259941,Köln,Germany,Europe,"Master Gerhard, Ernst Friedrich Zwirner",
Dome_of_the_Rock,31.77817277,35.23545992,Jerusalem,Israel,Asia,"Raja ibn Haywa, Yazid Ibn Salam",
Chrysler_Building,40.75175895,-73.97544836,"New York City, NY",United States,North America,William Van Alen,
Burj_Khalifa,25.19742027,55.27440858,Dubai,United Arab Emirates,Asia,"Adrian Smith, George J. Efstathiou, Marshall Strabala",
Maison_Citröhan,48.85200923,2.2654375,Paris,Germany,Europe,Le Corbusier,
Villa_Mairea,61.59753577,21.8744043,Noormarkku,Finland,Europe,Alvar Aalto,
Säynätsalo_Town_Hall,62.14033994,25.76932951,Säynätsalon kunnantalo,Finland,Europe,Alvar Aalto,
Solomon_R._Guggenheim_Museum,40.78318267,-73.9588955,"New York City, NY",United States,North America,Frank Lloyd Wright,
Falling_Water,39.90644437,-79.46780912,"Mill Run, PA",United States,North America,Frank Lloyd Wright,
Robie_House,41.78995377,-87.59588013,"Chicago, IL",United States,North America,Frank Lloyd Wright,
Utalitarian_Church,43.07573635,-89.43541336,"Chicago, IL",United States,North America,Frank Lloyd Wright,
Indian_Institute_of_Management_A,23.03321387,72.53282394,"Ahmedabad, Gujarat",India,Asia,Louis I. Kahn,
Nationa__Assembly_in_Dhaka,23.76268201,90.37852745,Dhaka,Bangladesh,Asia,Louis I. Kahn,
The_Trenton_Bath,40.25984557,-74.79879376,"Ewing Township, NJ",United States,North America,Louis I. Kahn,
Philip_Exter_Library,42.98126706,-70.95172262,"Exeter, NH",United States,North America,Louis I. Kahn,
Fisher_House,40.1670931,-75.1083966,"Hatboro, PA",United States,North America,Louis I. Kahn,
Margaret_Esherick_House,40.11152395,-75.21060934,"Philadelphia, PA",United States,North America,Louis I. Kahn,
Illinois_Institute_of_Technology,41.83504095,-87.6270059,"Chicago, IL",United States,North America,Ludwig Mies van der Rohe,
Neue_Nationalgalerie,52.50711865,13.36764691,Berlin,Germany,Europe,Ludwig Mies van der Rohe,
860-880_Lake_Shore_Drive,41.89924899,-87.61884501,"Chicago, IL",United States,North America,Ludwig Mies van der Rohe,
Voya_Financial_20_Washington,44.98247295,-93.2668441,"Minneapolis, MN",United States,North America,Minoru Yamasaki and Associates,
CITIC_Tower(China Zun),39.91284102,116.4637365,Beijing,China,Asia,"hejingtang，Kohn Pedersen Fox, Farrells",
Bird_Nest,39.99310747,116.3965005,Beijing,China,Asia,Herzog and de Meuron,
CCTV_Headquarters,39.91543143,116.4642097,Beijing,China,Asia,Rem Koolhaas,
